"RIL100";"DurchfahrtFahrweg";"AnkunftFahrweg";"AbfahrtFahrweg"
"UW";"UNM-502-LGC";"";""
"LB915";"UW-LGC";"";""
"LB906";"UW-LGC";"";""
"LB905";"UW-LGC";"";""
"LA806";"UW-LGC";"";""
"LB805";"UW-LGC";"";""
"LA706";"UW-LGC";"";""
"LGC";"UW-403-LLEL";"";""
"LDBG";"LGC-LLEL";"";""
"LDBB";"LGC-LLEL";"";""
"LDBA";"LGC-LLEL";"";""
"LKTU";"LGC-LLEL";"";""
"LQGL";"LGC-LLEL";"";""
"LGL";"LGC-2-LLEL";"";""
"LMKS";"LGC-1-LLEL";"";""
"L1838";"LGC-LLEL";"";""
"L1836";"LGC-LLEL";"";""
"LMIZ";"LGC-LLEL";"";""
"L1837";"LGC-LLEL";"";""
"L1835";"LGC-LLEL";"";""
"L1834";"LGC-LLEL";"";""
"L1832";"LGC-LLEL";"";""
"LRMF";"LGC-LLEL";"";""
"LLEL";"LGC-2-LLW";"";""
"LLW V";"LLEL-LWI";"";""
"YLLWI";"LLEL-LWI";"";""
"LWI";"LLEL-23-LLMO";"";""
